"site_code","date_index","one_week_date","Log10_NoV_norm","Easting","Northing","carehome_density","school_density","BAME","prop_urb","lockdown_lifting","lockdown_step3","lockdown_step4","lockdown_planB","mobility","imd_score","rain_rolling_7day","temp_rolling_7day","nov_3week"
"UKENNW_UU_TP000076",1,"24/05/2021",NA,345699,458711,16.34762163,68.14730058,0.10084325,0.813114116,0,1,0,0,-26.99680773,26.06076132,9.76542857142856e-06,282.2951542,NA
"UKENNW_UU_TP000078",1,"24/05/2021",NA,365809,399001,19.83374556,101.0049782,0.075965733,0.828263962,0,1,0,0,-21.59234634,35.70555393,4.42857142857142e-06,282.592434,NA
"UKENNW_UU_TP000084",1,"24/05/2021",NA,389609,378201,32.42667519,95.44834765,0.059435681,0.740240744,0,1,0,0,-25.85945049,15.42683177,1.61544714285714e-05,282.4479189,NA
"UKENNW_UU_TP000095",1,"24/05/2021",NA,324149,390251,18.57355125,44.13428391,0.038481044,0.725003006,0,1,0,0,-22.71428571,18.80501512,5.32828571428574e-06,283.2756204,NA
"UKENNW_UU_TP000102",1,"24/05/2021",NA,345709,427931,31.63143734,65.55612434,0.223568053,0.772015586,0,1,0,0,-13.3974303,26.05545481,3.64498571428572e-05,282.724456,NA
"UKENNW_UU_TP000103",1,"24/05/2021",NA,388287,412525,23.03766971,99.04953898,0.381939411,0.857273363,0,1,0,0,-12.53196539,35.46486782,9.75161428571425e-06,281.9094295,NA
"UKENNW_UU_TP000110",1,"24/05/2021",3.761105446,333486,392845,18.35554824,95.17845068,0.154762792,0.723849142,0,1,0,0,-27.43316223,41.44665061,4.38099999999993e-06,283.1670258,3.761105446
"UKENNW_UU_TP000115",1,"24/05/2021",NA,353579,395921,17.56151325,76.01529161,0.034405887,0.703612933,0,1,0,0,-24.55982972,36.6581355,3.49042857142861e-06,282.8399184,NA
"UKENNW_UU_TP000116",1,"24/05/2021",4.539465403,386519,389821,19.13609618,80.70499951,0.12413202,0.759224889,0,1,0,0,-28.30721695,26.20030235,1.15344714285715e-05,282.7552276,4.539465403
"UKENNW_UU_TP000124",1,"24/05/2021",NA,358039,386891,22.22504954,76.32446156,0.06249303,0.452000349,0,1,0,0,-25.11321952,22.40770823,5.13542857142864e-06,282.8347549,NA
"UKENNW_UU_TP000133",1,"24/05/2021",NA,348172,411615,17.89103329,79.12641303,0.048377177,0.719892626,0,1,0,0,-21.57066602,26.49283309,7.05428571428574e-06,282.244699,NA
"UKENSO_SW_TP000001",1,"24/05/2021",NA,438718,112480,18.16627664,64.69570578,0.227606805,0.660992934,0,1,0,0,-32.0570143,26.75554973,1.51204714285712e-05,283.2683734,NA
"UKENSO_SW_TP000004",1,"24/05/2021",NA,470951,105443,25.67033162,69.20846075,0.109334991,0.720707144,0,1,0,0,-24.95706719,24.72363925,1.01450428571429e-05,283.0406748,NA
"UKENSO_SW_TP000008",1,"24/05/2021",NA,456846,103242,42.815509,56.10564394,0.046614608,0.706103673,0,1,0,0,-18.2202358,12.52756056,1.95690428571429e-05,283.2348025,NA
"UKENSO_SW_TP000011",1,"24/05/2021",NA,438275,111125,31.8124667,62.32985533,0.033491989,0.701473425,0,1,0,0,-17.58218551,13.44123806,1.84314714285714e-05,283.2677234,NA
