"X","site_code","dailyrain","date","X.1","rain_rolling_7day","weekday"
1325,"UKENAN_AW_TP000050",0.0001679,"2022-03-07",NA,0.000219903385714286,"Mon"
1332,"UKENAN_AW_TP000050",0.000426807,"2022-03-14",NA,0.00259510837142857,"Mon"
1339,"UKENAN_AW_TP000050",7.99e-05,"2022-03-21",NA,0.000770402428571429,"Mon"
1346,"UKENAN_AW_TP000050",4.22e-05,"2022-03-28",NA,0.000988337142857144,"Mon"
1355,"UKENAN_AW_TP000051",0.000339021,"2021-05-03",NA,NA,"Mon"
1362,"UKENAN_AW_TP000051",4.03e-05,"2021-05-10",NA,0.000621451285714286,"Mon"
1369,"UKENAN_AW_TP000051",0.000806185,"2021-05-17",NA,0.00115253214285714,"Mon"
1376,"UKENAN_AW_TP000051",6.91e-07,"2021-05-24",NA,2.99338999999999e-05,"Mon"
1383,"UKENAN_AW_TP000051",0.000981742,"2021-05-31",NA,0.000798295714285714,"Mon"
1390,"UKENAN_AW_TP000051",0.000112044,"2021-06-07",NA,0.000834569571428571,"Mon"
1397,"UKENAN_AW_TP000051",2.88e-07,"2021-06-14",NA,0.000329185,"Mon"
1404,"UKENAN_AW_TP000051",5.59e-07,"2021-06-21",NA,3.51684285714284e-05,"Mon"
1411,"UKENAN_AW_TP000051",4.7e-06,"2021-06-28",NA,3.05857142857141e-05,"Mon"
1418,"UKENAN_AW_TP000051",6.46e-05,"2021-07-05",NA,0.00102640242857143,"Mon"
1425,"UKENAN_AW_TP000051",3.07e-05,"2021-07-12",NA,0.00155676457142857,"Mon"
1432,"UKENAN_AW_TP000051",0.000252062,"2021-07-19",NA,0.00126243514285714,"Mon"
1439,"UKENAN_AW_TP000051",4.48e-05,"2021-07-26",NA,0.001251884,"Mon"
1446,"UKENAN_AW_TP000051",0.000829491,"2021-08-02",NA,0.000863216857142857,"Mon"
1453,"UKENAN_AW_TP000051",0.008650761,"2021-08-09",NA,0.00208500142857143,"Mon"
1460,"UKENAN_AW_TP000051",0.002853451,"2021-08-16",NA,0.00226843557142857,"Mon"
1467,"UKENAN_AW_TP000051",0.002020878,"2021-08-23",NA,0.002003913,"Mon"
1474,"UKENAN_AW_TP000051",7.87e-05,"2021-08-30",NA,0.000226549571428572,"Mon"
1481,"UKENAN_AW_TP000051",0.002510301,"2021-09-06",NA,0.00152137642857143,"Mon"
1488,"UKENAN_AW_TP000051",0.000772902,"2021-09-13",NA,0.000476421714285714,"Mon"
1495,"UKENAN_AW_TP000051",0.000103984,"2021-09-20",NA,0.000126818857142857,"Mon"
1502,"UKENAN_AW_TP000051",0.005608695,"2021-09-27",NA,0.00270394214285714,"Mon"
1509,"UKENAN_AW_TP000051",0.000898487,"2021-10-04",NA,0.00123770571428571,"Mon"
1516,"UKENAN_AW_TP000051",0.000485751,"2021-10-11",NA,0.000770701428571429,"Mon"
1523,"UKENAN_AW_TP000051",4.82e-06,"2021-10-18",NA,0.000292827571428572,"Mon"
1530,"UKENAN_AW_TP000051",0.000313156,"2021-10-25",NA,0.000198889142857143,"Mon"
1537,"UKENAN_AW_TP000051",1.33e-05,"2021-11-01",NA,0.00127538971428571,"Mon"
1544,"UKENAN_AW_TP000051",0.003427397,"2021-11-08",NA,0.00200452171428571,"Mon"
1551,"UKENAN_AW_TP000051",0.000245652,"2021-11-15",NA,0.00135903764285714,"Mon"
1558,"UKENAN_AW_TP000051",0.000443314,"2021-11-22",NA,0.000463292,"Mon"
1565,"UKENAN_AW_TP000051",0.003389781,"2021-11-29",NA,0.00236509271428571,"Mon"
1572,"UKENAN_AW_TP000051",0.00370666,"2021-12-06",NA,0.000656932714285714,"Mon"
1579,"UKENAN_AW_TP000051",2.53e-05,"2021-12-13",NA,3.21511428571429e-05,"Mon"
1586,"UKENAN_AW_TP000051",0.019382415,"2021-12-20",NA,0.00465167642857143,"Mon"
1593,"UKENAN_AW_TP000051",0.001947116,"2021-12-27",NA,0.00176466014285714,"Mon"
1600,"UKENAN_AW_TP000051",1.24e-05,"2022-01-03",NA,0.000568933142857143,"Mon"
1607,"UKENAN_AW_TP000051",1.45e-05,"2022-01-10",NA,0.000201088142857143,"Mon"
1614,"UKENAN_AW_TP000051",8.69e-05,"2022-01-17",NA,4.71278571428571e-05,"Mon"
1621,"UKENAN_AW_TP000051",5.84e-07,"2022-01-24",NA,0.000235076142857143,"Mon"
1628,"UKENAN_AW_TP000051",0.001009978,"2022-01-31",NA,0.00203434242857143,"Mon"
1635,"UKENAN_AW_TP000051",5.78e-05,"2022-02-07",NA,0.00146577971428571,"Mon"
1642,"UKENAN_AW_TP000051",4.58e-05,"2022-02-14",NA,0.000478526142857143,"Mon"
1649,"UKENAN_AW_TP000051",0.001768583,"2022-02-21",NA,0.00351508957142857,"Mon"
1656,"UKENAN_AW_TP000051",1.15e-05,"2022-02-28",NA,0.00166228914285714,"Mon"
1663,"UKENAN_AW_TP000051",0.000412659,"2022-03-07",NA,0.000121782814285714,"Mon"
1670,"UKENAN_AW_TP000051",0.000410411,"2022-03-14",NA,0.00181854628571429,"Mon"
1677,"UKENAN_AW_TP000051",3.77e-05,"2022-03-21",NA,0.000392964571428571,"Mon"
1684,"UKENAN_AW_TP000051",4e-05,"2022-03-28",NA,0.00127460871428571,"Mon"
1693,"UKENAN_AW_TP000055",0.000291909,"2021-05-03",NA,NA,"Mon"
1700,"UKENAN_AW_TP000055",3.91e-05,"2021-05-10",NA,0.000602192142857143,"Mon"
1707,"UKENAN_AW_TP000055",0.000333068,"2021-05-17",NA,0.000592020714285714,"Mon"
1714,"UKENAN_AW_TP000055",5.35e-07,"2021-05-24",NA,6.03247142857152e-06,"Mon"
1721,"UKENAN_AW_TP000055",0.000346624,"2021-05-31",NA,0.000437656857142857,"Mon"
1728,"UKENAN_AW_TP000055",0.000210506,"2021-06-07",NA,0.000900508571428572,"Mon"
1735,"UKENAN_AW_TP000055",2.87e-07,"2021-06-14",NA,0.000273880285714286,"Mon"
1742,"UKENAN_AW_TP000055",1.03e-06,"2021-06-21",NA,3.93458571428572e-05,"Mon"
1749,"UKENAN_AW_TP000055",5.61e-06,"2021-06-28",NA,2.53171428571429e-05,"Mon"
1756,"UKENAN_AW_TP000055",7.79e-05,"2021-07-05",NA,0.00103237657142857,"Mon"
1763,"UKENAN_AW_TP000055",2.06e-06,"2021-07-12",NA,0.00135300571428571,"Mon"
1770,"UKENAN_AW_TP000055",0.000569773,"2021-07-19",NA,0.000998062857142857,"Mon"
1777,"UKENAN_AW_TP000055",3.21e-05,"2021-07-26",NA,0.002014968,"Mon"
1784,"UKENAN_AW_TP000055",0.001168849,"2021-08-02",NA,0.000795448,"Mon"
1791,"UKENAN_AW_TP000055",0.007536227,"2021-08-09",NA,0.00209989328571429,"Mon"
1798,"UKENAN_AW_TP000055",0.002501429,"2021-08-16",NA,0.00185148657142857,"Mon"
1805,"UKENAN_AW_TP000055",0.003785687,"2021-08-23",NA,0.00172973914285714,"Mon"
1812,"UKENAN_AW_TP000055",0.000522495,"2021-08-30",NA,0.000255315914285714,"Mon"
1819,"UKENAN_AW_TP000055",0.004397537,"2021-09-06",NA,0.00171817157142857,"Mon"
1826,"UKENAN_AW_TP000055",0.000926492,"2021-09-13",NA,0.000767099142857143,"Mon"
1833,"UKENAN_AW_TP000055",0.000103055,"2021-09-20",NA,9.04201428571429e-05,"Mon"
1840,"UKENAN_AW_TP000055",0.005739562,"2021-09-27",NA,0.002643562,"Mon"
1847,"UKENAN_AW_TP000055",0.000494857,"2021-10-04",NA,0.00105188614285714,"Mon"
