,site_code,dailyrain,date,
285,UKENAN_AW_TP000016,7.87E-06,09/02/2022,
286,UKENAN_AW_TP000016,0.000203843,10/02/2022,
287,UKENAN_AW_TP000016,1.19E-05,11/02/2022,
288,UKENAN_AW_TP000016,0.000247101,12/02/2022,
289,UKENAN_AW_TP000016,0.000229965,13/02/2022,
290,UKENAN_AW_TP000016,4.28E-05,14/02/2022,
291,UKENAN_AW_TP000016,4.36E-05,15/02/2022,
292,UKENAN_AW_TP000016,0.000583556,16/02/2022,
293,UKENAN_AW_TP000016,0.002836653,17/02/2022,
294,UKENAN_AW_TP000016,0.001237408,18/02/2022,
295,UKENAN_AW_TP000016,0.004045901,19/02/2022,
296,UKENAN_AW_TP000016,0.016972118,20/02/2022,
297,UKENAN_AW_TP000016,0.001415626,21/02/2022,
298,UKENAN_AW_TP000016,5.54E-05,22/02/2022,
299,UKENAN_AW_TP000016,1.01E-05,23/02/2022,
300,UKENAN_AW_TP000016,0.000117525,24/02/2022,
301,UKENAN_AW_TP000016,0.000427583,25/02/2022,
302,UKENAN_AW_TP000016,0.000256716,26/02/2022,
303,UKENAN_AW_TP000016,2.93E-05,27/02/2022,
304,UKENAN_AW_TP000016,1.12E-05,28/02/2022,
305,UKENAN_AW_TP000016,0.003549923,01/03/2022,
306,UKENAN_AW_TP000016,0.002279752,02/03/2022,
307,UKENAN_AW_TP000016,0.004732164,03/03/2022,
308,UKENAN_AW_TP000016,9.61E-05,04/03/2022,
309,UKENAN_AW_TP000016,0.000124555,05/03/2022,
310,UKENAN_AW_TP000016,0.000159246,06/03/2022,
311,UKENAN_AW_TP000016,0.000382011,07/03/2022,
312,UKENAN_AW_TP000016,0.000150827,08/03/2022,
313,UKENAN_AW_TP000016,9.01E-06,09/03/2022,
314,UKENAN_AW_TP000016,7.48E-08,10/03/2022,
315,UKENAN_AW_TP000016,3.53E-06,11/03/2022,
316,UKENAN_AW_TP000016,0.003774078,12/03/2022,
317,UKENAN_AW_TP000016,0.001443798,13/03/2022,
318,UKENAN_AW_TP000016,0.000401326,14/03/2022,
319,UKENAN_AW_TP000016,0.000116155,15/03/2022,
320,UKENAN_AW_TP000016,9.09E-05,16/03/2022,
321,UKENAN_AW_TP000016,0.009822042,17/03/2022,
322,UKENAN_AW_TP000016,0.001029731,18/03/2022,
323,UKENAN_AW_TP000016,0.00032842,19/03/2022,
324,UKENAN_AW_TP000016,0.000112284,20/03/2022,
325,UKENAN_AW_TP000016,6.90E-05,21/03/2022,
326,UKENAN_AW_TP000016,0.000980607,22/03/2022,
327,UKENAN_AW_TP000016,0.000194785,23/03/2022,
328,UKENAN_AW_TP000016,0.000124072,24/03/2022,
329,UKENAN_AW_TP000016,9.81E-06,25/03/2022,
330,UKENAN_AW_TP000016,3.01E-05,26/03/2022,
331,UKENAN_AW_TP000016,5.02E-06,27/03/2022,
332,UKENAN_AW_TP000016,3.33E-05,28/03/2022,
333,UKENAN_AW_TP000016,0.000639368,29/03/2022,
334,UKENAN_AW_TP000016,0.004474463,30/03/2022,
