"","site_code","one_week_date","Log10_NoV_norm"
"2802","UKENTH_TWU_TP000033",2021-08-09,4.563494575
"2803","UKENTH_TWU_TP000033",2021-08-23,5.684627108
"2804","UKENTH_TWU_TP000033",2021-09-06,5.453979942
"2805","UKENTH_TWU_TP000033",2021-09-20,5.047208762
"2806","UKENTH_TWU_TP000033",2021-10-25,5.147266715
"2807","UKENTH_TWU_TP000033",2021-11-01,4.886714995
"2808","UKENTH_TWU_TP000033",2021-11-15,4.52152913
"2809","UKENTH_TWU_TP000033",2021-11-29,4.882467458
"2810","UKENTH_TWU_TP000033",2021-12-13,4.167668933
"2811","UKENTH_TWU_TP000033",2022-01-03,5.156295505
"2812","UKENTH_TWU_TP000033",2022-01-10,3.728524495
"2813","UKENTH_TWU_TP000033",2022-01-24,4.800259251
"2814","UKENTH_TWU_TP000033",2022-02-07,5.535982984
"2815","UKENTH_TWU_TP000033",2022-03-07,5.7856386095
"2816","UKENTH_TWU_TP000033",2022-03-28,5.542301291
"2817","UKENTH_TWU_TP000050",2021-05-31,4.138199744
"2818","UKENTH_TWU_TP000050",2021-06-14,4.747094043
"2819","UKENTH_TWU_TP000050",2021-06-28,4.79456197
"2820","UKENTH_TWU_TP000050",2021-07-12,4.723244815
"2821","UKENTH_TWU_TP000050",2021-07-26,5.064254974
"2822","UKENTH_TWU_TP000050",2021-08-09,4.45059162
"2823","UKENTH_TWU_TP000050",2021-08-23,5.463779994
"2824","UKENTH_TWU_TP000050",2021-09-06,5.37261611
"2825","UKENTH_TWU_TP000050",2021-09-20,4.908452854
"2826","UKENTH_TWU_TP000050",2021-10-04,4.733577254
"2827","UKENTH_TWU_TP000050",2021-10-18,4.449332637
"2828","UKENTH_TWU_TP000050",2021-11-01,5.594355055
"2829","UKENTH_TWU_TP000050",2021-11-15,4.319669205
"2830","UKENTH_TWU_TP000050",2021-11-29,5.276039635
"2831","UKENTH_TWU_TP000050",2021-12-13,5.748334236
"2832","UKENTH_TWU_TP000050",2021-12-27,5.255090245
"2833","UKENTH_TWU_TP000050",2022-01-10,5.012902681
"2834","UKENTH_TWU_TP000050",2022-01-24,5.378319617
"2835","UKENTH_TWU_TP000050",2022-02-07,5.580995122
"2836","UKENTH_TWU_TP000050",2022-02-21,3.447094187
"2837","UKENTH_TWU_TP000050",2022-03-07,5.434722278
"2838","UKENTH_TWU_TP000050",2022-03-21,5.615590988
"2839","UKENTH_TWU_TP000052",2021-05-24,2.97614197
"2840","UKENTH_TWU_TP000052",2021-06-07,3.432535746
"2841","UKENTH_TWU_TP000052",2021-06-21,4.256411491
"2842","UKENTH_TWU_TP000052",2021-07-05,3.424788399
"2843","UKENTH_TWU_TP000052",2021-07-26,4.435834235
"2844","UKENTH_TWU_TP000052",2021-08-02,3.994158706
"2845","UKENTH_TWU_TP000052",2021-08-16,2.955008199
"2846","UKENTH_TWU_TP000052",2021-08-30,3.588387889
"2847","UKENTH_TWU_TP000052",2021-09-13,4.12041037
"2848","UKENTH_TWU_TP000052",2021-10-04,4.193629299
"2849","UKENTH_TWU_TP000052",2021-10-11,4.215805831
"2850","UKENTH_TWU_TP000052",2021-10-25,4.673348939
"2851","UKENTH_TWU_TP000052",2021-11-15,4.288852076
"2852","UKENTH_TWU_TP000052",2021-11-22,2.193900494
"2853","UKENTH_TWU_TP000052",2021-12-06,4.60319709
"2854","UKENTH_TWU_TP000052",2021-12-20,3.989851703
"2855","UKENTH_TWU_TP000052",2022-01-03,3.829729018
"2856","UKENTH_TWU_TP000052",2022-01-17,3.088058227
"2857","UKENTH_TWU_TP000052",2022-01-31,4.555481275
"2858","UKENTH_TWU_TP000052",2022-02-14,4.85099212
"2859","UKENTH_TWU_TP000052",2022-02-28,4.967069514
"2860","UKENTH_TWU_TP000052",2022-03-14,NA
"2861","UKENTH_TWU_TP000054",2021-05-31,3.857142316
"2862","UKENTH_TWU_TP000054",2021-06-14,3.276497623
"2863","UKENTH_TWU_TP000054",2021-06-28,4.524515727
"2864","UKENTH_TWU_TP000054",2021-07-12,4.954555814
"2865","UKENTH_TWU_TP000054",2021-07-26,4.549804199
"2866","UKENTH_TWU_TP000054",2021-08-09,4.226346829
"2867","UKENTH_TWU_TP000054",2021-08-23,4.813184644
"2868","UKENTH_TWU_TP000054",2021-09-06,4.799150764
"2869","UKENTH_TWU_TP000054",2021-09-20,5.058662091
"2870","UKENTH_TWU_TP000054",2021-10-04,4.325040317
"2871","UKENTH_TWU_TP000054",2021-10-18,4.626576259
"2872","UKENTH_TWU_TP000054",2021-11-01,5.017950943
"2873","UKENTH_TWU_TP000054",2021-11-15,4.813372644
"2874","UKENTH_TWU_TP000054",2021-11-29,4.713521542
"2875","UKENTH_TWU_TP000054",2021-12-13,4.895071006
"2876","UKENTH_TWU_TP000054",2021-12-27,4.721506259
"2877","UKENTH_TWU_TP000054",2022-01-10,5.261926693
"2878","UKENTH_TWU_TP000054",2022-01-24,4.419607547
"2879","UKENTH_TWU_TP000054",2022-02-07,4.987435523
"2880","UKENTH_TWU_TP000054",2022-02-21,5.257712105
"2881","UKENTH_TWU_TP000054",2022-03-07,5.154620179
"2882","UKENTH_TWU_TP000054",2022-03-21,5.173341971
"2883","UKENTH_TWU_TP000073",2021-05-24,4.29831765
"2884","UKENTH_TWU_TP000073",2021-05-31,3.610817236
"2885","UKENTH_TWU_TP000073",2021-06-14,4.929519288
"2886","UKENTH_TWU_TP000073",2021-06-28,4.232178755
"2887","UKENTH_TWU_TP000073",2021-07-12,5.047347249
"2888","UKENTH_TWU_TP000073",2021-07-26,5.061132436
"2889","UKENTH_TWU_TP000073",2021-08-09,4.374784095
"2890","UKENTH_TWU_TP000073",2021-08-23,5.355109107
"2891","UKENTH_TWU_TP000073",2021-09-06,4.607343715
"2892","UKENTH_TWU_TP000073",2021-09-20,5.532816965
"2893","UKENTH_TWU_TP000073",2021-10-04,5.250868991
"2894","UKENTH_TWU_TP000073",2021-10-18,5.670279373
"2895","UKENTH_TWU_TP000073",2021-11-01,4.314899141
"2896","UKENTH_TWU_TP000073",2021-11-15,5.853000604
"2897","UKENTH_TWU_TP000073",2021-11-29,5.453998076
"2898","UKENTH_TWU_TP000073",2021-12-13,5.530246708
"2899","UKENTH_TWU_TP000073",2022-01-03,5.112510431
"2900","UKENTH_TWU_TP000073",2022-01-10,5.638787837
"2901","UKENTH_TWU_TP000073",2022-01-24,6.292970794
"2902","UKENTH_TWU_TP000073",2022-02-07,3.269047342
"2903","UKENTH_TWU_TP000073",2022-02-21,5.170552264
"2904","UKENTH_TWU_TP000073",2022-03-07,5.418448041
"2905","UKENTH_TWU_TP000073",2022-03-21,5.314904821
"2906","UKENTH_TWU_TP000073",2022-03-28,5.992845646
"2907","UKENTH_TWU_TP000084",2021-05-31,4.421613524
"2908","UKENTH_TWU_TP000084",2021-06-07,3.260843892
"2909","UKENTH_TWU_TP000084",2021-06-28,4.869693589
"2910","UKENTH_TWU_TP000084",2021-07-12,3.672312835
"2911","UKENTH_TWU_TP000084",2021-07-26,5.090004239
"2912","UKENTH_TWU_TP000084",2021-08-09,5.626981159
"2913","UKENTH_TWU_TP000084",2021-08-23,4.481871984
"2914","UKENTH_TWU_TP000084",2021-09-06,5.11451675
"2915","UKENTH_TWU_TP000084",2021-09-20,3.484497842
"2916","UKENTH_TWU_TP000084",2021-10-04,4.777146722
"2917","UKENTH_TWU_TP000084",2021-10-18,5.047306553
"2918","UKENTH_TWU_TP000084",2021-11-01,5.125437895
"2919","UKENTH_TWU_TP000084",2021-11-15,4.536544134
"2920","UKENTH_TWU_TP000084",2021-11-29,4.728760083
"2921","UKENTH_TWU_TP000084",2021-12-13,5.11875535
"2922","UKENTH_TWU_TP000084",2021-12-27,4.109576888
"2923","UKENTH_TWU_TP000084",2022-01-03,4.218063571
"2924","UKENTH_TWU_TP000084",2022-01-24,4.008045721
"2925","UKENTH_TWU_TP000084",2022-02-07,4.908403155
"2926","UKENTH_TWU_TP000084",2022-02-21,5.030651018
"2927","UKENTH_TWU_TP000084",2022-03-07,5.357662783
